# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 370:         5.377       51.451      22.60  EINDHOVEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20160501,   79,   -1,  141
  260,20160502,  115,   16,  179
  260,20160503,   97,   30,  140
  260,20160504,   95,   17,  160
  260,20160505,  128,   29,  188
  260,20160506,  164,   81,  236
  260,20160507,  195,   94,  258
  260,20160508,  201,  127,  252
  260,20160509,  202,  142,  253
  260,20160510,  189,  154,  221
  260,20160511,  204,  141,  255
  260,20160512,  202,  144,  251
  260,20160513,  154,   97,  222
  260,20160514,   89,   64,  121
  260,20160515,   86,   53,  121
  260,20160516,   93,   40,  136
  260,20160517,  123,   50,  181
  260,20160518,  136,   83,  187
  260,20160519,  134,  104,  173
  260,20160520,  137,  107,  186
  260,20160521,  179,  107,  234
  260,20160522,  155,  129,  190
  260,20160523,  120,  105,  133
  260,20160524,  114,   98,  146
  260,20160525,  118,   77,  145
  260,20160526,  137,   56,  193
  260,20160527,  160,  106,  209
  260,20160528,  176,  112,  227
  260,20160529,  172,  140,  205
  260,20160530,  162,  153,  180
  260,20160531,  182,  131,  226
  260,20160601,  192,  154,  243
  260,20160602,  153,  137,  172
  260,20160603,  164,  137,  214
  260,20160604,  201,  141,  275
  260,20160605,  200,  137,  256
  260,20160606,  189,  117,  256
  260,20160607,  201,  153,  265
  260,20160608,  161,  127,  216
  260,20160609,  153,  110,  203
  260,20160610,  164,  108,  212
  260,20160611,  162,  120,  208
  260,20160612,  166,  135,  211
  260,20160613,  159,  146,  190
  260,20160614,  152,  111,  191
  260,20160615,  146,  113,  187
  260,20160616,  157,   92,  211
  260,20160617,  151,  111,  195
  260,20160618,  141,   99,  171
  260,20160619,  153,  121,  189
  260,20160620,  155,  141,  168
  260,20160621,  170,  134,  201
  260,20160622,  201,  147,  249
  260,20160623,  220,  182,  284
  260,20160624,  192,  133,  227
  260,20160625,  154,  109,  193
  260,20160626,  149,  121,  183
  260,20160627,  149,  109,  189
  260,20160628,  167,   92,  218
  260,20160629,  160,  132,  202
  260,20160630,  164,  144,  192
  370,20160501,   85,   31,  147
  370,20160502,  119,    7,  193
  370,20160503,  101,   25,  149
  370,20160504,  106,    6,  165
  370,20160505,  144,   66,  201
  370,20160506,  177,  112,  251
  370,20160507,  203,  105,  269
  370,20160508,  214,  147,  264
  370,20160509,  213,  158,  261
  370,20160510,  186,  152,  215
  370,20160511,  209,  154,  264
  370,20160512,  203,  151,  263
  370,20160513,  169,   94,  247
  370,20160514,   93,   49,  132
  370,20160515,   84,   29,  130
  370,20160516,   89,   18,  133
  370,20160517,  132,   73,  195
  370,20160518,  137,   75,  207
  370,20160519,  136,   92,  193
  370,20160520,  142,   98,  188
  370,20160521,  187,  124,  242
  370,20160522,  170,  147,  193
  370,20160523,  118,  105,  148
  370,20160524,  114,   85,  151
  370,20160525,  114,   71,  168
  370,20160526,  156,   56,  216
  370,20160527,  174,  133,  219
  370,20160528,  190,  126,  247
  370,20160529,  169,  137,  194
  370,20160530,  162,  152,  174
  370,20160531,  171,  136,  218
  370,20160601,  173,  120,  215
  370,20160602,  171,  142,  219
  370,20160603,  170,  139,  215
  370,20160604,  178,  137,  248
  370,20160605,  206,  128,  283
  370,20160606,  207,  133,  270
  370,20160607,  207,  150,  276
  370,20160608,  180,  119,  232
  370,20160609,  162,  101,  218
  370,20160610,  169,   85,  230
  370,20160611,  182,  146,  219
  370,20160612,  172,  151,  228
  370,20160613,  154,  138,  204
  370,20160614,  158,  124,  212
  370,20160615,  148,  105,  196
  370,20160616,  151,   84,  214
  370,20160617,  156,  129,  204
  370,20160618,  145,  122,  181
  370,20160619,  150,  113,  192
  370,20160620,  158,  131,  189
  370,20160621,  175,  150,  208
  370,20160622,  213,  143,  263
  370,20160623,  246,  193,  317
  370,20160624,  203,  156,  238
  370,20160625,  154,  105,  185
  370,20160626,  144,  102,  196
  370,20160627,  150,  123,  187
  370,20160628,  178,  131,  230
  370,20160629,  166,  134,  220
  370,20160630,  169,  145,  201
